id,marca,ram_gb,armazenamento_gb,nucleos_cpu,vram_gpu_gb,clock_cpu_ghz,preco_rs
1.0,Apple,8.0,256.0,8.0,4.0,2.71,4860.08
2.0,Acer,8.0,2048.0,4.0,0.0,2.3,
,,8.0,512.0,16.0,8.0,,7078.96
4.0,HP,16.0,,8.0,6.0,2.5,8161.93
5.0,HP,8.0,256.0,12.0,0.0,3.15,4468.57
6.0,Acer,8.0,2048.0,,0.0,5.11,7435.72
7.0,Lenovo,32.0,1024.0,16.0,4.0,,8641.29
8.0,HP,32.0,256.0,6.0,0.0,3.22,5561.25
9.0,Apple,16.0,1024.0,8.0,4.0,4.14,6543.89
10.0,HP,8.0,512.0,16.0,16.0,2.78,8609.76
11.0,ASUS,16.0,1024.0,,4.0,4.63,6054.83
12.0,Apple,32.0,256.0,6.0,,4.8,8036.01
13.0,Acer,64.0,2048.0,12.0,4.0,,11810.58
14.0,Lenovo,32.0,2048.0,16.0,8.0,3.16,11132.0
15.0,Apple,,,,0.0,2.49,7572.19
16.0,HP,64.0,256.0,12.0,8.0,3.91,10699.03
17.0,HP,8.0,256.0,16.0,6.0,4.46,6397.31
18.0,HP,64.0,512.0,12.0,0.0,5.05,9764.91
19.0,HP,16.0,256.0,8.0,,3.62,7668.55
,HP,16.0,256.0,16.0,6.0,3.56,6810.32
21.0,,32.0,512.0,4.0,4.0,4.81,6823.57
22.0,Acer,64.0,256.0,16.0,4.0,2.41,10353.37
,Acer,,,16.0,12.0,3.35,8970.88
24.0,Acer,16.0,1024.0,12.0,16.0,4.08,9379.66
25.0,,64.0,256.0,6.0,,2.2,
26.0,Dell,16.0,512.0,4.0,0.0,4.27,4156.72
27.0,Lenovo,8.0,1024.0,4.0,12.0,2.76,6746.19
28.0,Dell,16.0,2048.0,6.0,8.0,4.58,8009.85
29.0,Apple,,1024.0,12.0,8.0,3.49,11735.25
30.0,Lenovo,8.0,256.0,12.0,16.0,3.09,
